FieldID,Description
f.2926.0.0,Number of unsuccessful stop-smoking attempts
f.2936.0.0,Likelihood of resuming smoking
f.2946.0.0,Father's age
f.2956.0.0,General pain for 3+ months
f.2966.0.0,Age high blood pressure diagnosed
f.2976.0.0,Age diabetes diagnosed
f.2986.0.0,Started insulin within one year diagnosis of diabetes
f.3005.0.0,Fracture resulting from simple fall
f.3059.0.0,Result ranking
f.3062.0.0,Forced vital capacity (FVC)
f.3063.0.0,Forced expiratory volume in 1-second (FEV1)
f.3064.0.0,Peak expiratory flow (PEF)
f.3065.0.0,Ordering of blows
f.3066.0.0,Data points for blow
f.3077.0.0,Seating box height
f.3079.0.0,Pace-maker
f.3081.0.0,Foot measured for bone density
f.3082.0.0,Fractured heel
f.3083.0.0,"Heel quantitative ultrasound index (QUI), manual entry"
f.3084.0.0,"Heel bone mineral density (BMD), manual entry"
f.3085.0.0,"Heel Broadband ultrasound attenuation (BUA), manual entry"
f.3088.0.0,Contra-indications for spirometry
f.3089.0.0,Caffeine drink within last hour
f.3090.0.0,Used an inhaler for chest within last hour
f.3137.0.0,Number of measurements made
f.3140.0.0,Pregnant
f.3143.0.0,Ankle spacing width
f.3144.0.0,"Heel Broadband ultrasound attenuation, direct entry"
f.3147.0.0,"Heel quantitative ultrasound index (QUI), direct entry"
f.3148.0.0,Heel bone mineral density (BMD)
f.3159.0.0,Smoked cigarette or pipe within last hour
f.3160.0.0,"Weight, manual entry"
f.3393.0.0,Hearing aid user
f.3404.0.0,Neck/shoulder pain for 3+ months
f.3414.0.0,Hip pain for 3+ months
f.3426.0.0,Job involves night shift work
f.3436.0.0,Age started smoking in current smokers
f.3446.0.0,Type of tobacco currently smoked
f.3456.0.0,Number of cigarettes currently smoked daily (current cigarette smokers)
f.3466.0.0,Time from waking to first cigarette
f.3476.0.0,Difficulty not smoking for 1 day
f.3486.0.0,Ever tried to stop smoking
f.3496.0.0,Wants to stop smoking
f.3506.0.0,Smoking compared to 10 years previous
f.3526.0.0,Mother's age at death
f.3536.0.0,Age started hormone-replacement therapy (HRT)
f.3546.0.0,Age last used hormone-replacement therapy (HRT)
f.3571.0.0,Back pain for 3+ months
f.3581.0.0,Age at menopause (last menstrual period)
f.3591.0.0,Ever had hysterectomy (womb removed)
f.3606.0.0,Chest pain or discomfort walking normally
f.3616.0.0,Chest pain due to walking ceases when standing still
f.3627.0.0,Age angina diagnosed
f.3637.0.0,Frequency of other exercises in last 4 weeks
f.3647.0.0,Duration of other exercises
f.3659.0.0,Year immigrated to UK (United Kingdom)
f.3669.0.0,Lifetime number of same-sex sexual partners
f.3680.0.0,Age when last ate meat
f.3700.0.0,Time since last menstrual period
f.3710.0.0,Length of menstrual cycle
f.3720.0.0,Menstruating today
f.3731.0.0,Former alcohol drinker
f.3741.0.0,Stomach/abdominal pain for 3+ months
f.3751.0.0,Chest pain or discomfort when walking uphill or hurrying
f.3761.0.0,"Age hay fever, rhinitis or eczema diagnosed"
f.3773.0.0,Knee pain for 3+ months
f.3786.0.0,Age asthma diagnosed
f.3799.0.0,Headaches for 3+ months
f.3809.0.0,Time since last prostate specific antigen (PSA) test
f.3829.0.0,Number of stillbirths
f.3839.0.0,Number of spontaneous miscarriages
f.3849.0.0,Number of pregnancy terminations
f.3859.0.0,Reason former drinker stopped drinking alcohol
f.3872.0.0,Age of primiparous women at birth of child
f.3882.0.0,Age at bilateral oophorectomy (both ovaries removed)
f.3894.0.0,Age heart attack diagnosed
f.3912.0.0,Adopted father still alive
f.3942.0.0,Adopted mother still alive
f.3972.0.0,Number of adopted brothers
f.3982.0.0,Number of adopted sisters
f.3992.0.0,Age emphysema/chronic bronchitis diagnosed
f.4012.0.0,"Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed"
f.4022.0.0,Age pulmonary embolism (blood clot in lung) diagnosed
f.4041.0.0,Gestational diabetes only
f.4056.0.0,Age stroke diagnosed
f.4067.0.0,Facial pains for 3+ months
f.4079.0.0,"Diastolic blood pressure, automated reading"
f.4080.0.0,"Systolic blood pressure, automated reading"
f.4092.0.0,Heel ultrasound method (left)
f.4093.0.0,Fractured heel (left)
f.4095.0.0,Heel ultrasound method (right)
f.4096.0.0,Fractured heel (right)
f.4100.0.0,Ankle spacing width (left)
f.4101.0.0,Heel broadband ultrasound attenuation (left)
f.4104.0.0,"Heel quantitative ultrasound index (QUI), direct entry (left)"
f.4105.0.0,Heel bone mineral density (BMD) (left)
f.4106.0.0,"Heel bone mineral density (BMD) T-score, automated (left)"
f.4119.0.0,Ankle spacing width (right)
f.4120.0.0,Heel broadband ultrasound attenuation (right)
f.4123.0.0,"Heel quantitative ultrasound index (QUI), direct entry (right)"
f.4124.0.0,Heel bone mineral density (BMD) (right)
f.4125.0.0,"Heel bone mineral density (BMD) T-score, automated (right)"
f.4138.0.0,"Heel bone mineral density (BMD) T-score, manual entry (left)"
f.4139.0.0,"Heel quantitative ultrasound index (QUI), manual entry (left)"
f.4140.0.0,"Heel bone mineral density (BMD), manual entry (left)"
f.4141.0.0,"Heel broadband ultrasound attenuation (BUA), manual entry (left)"
f.4143.0.0,"Heel bone mineral density (BMD) T-score, manual entry (right)"
f.4144.0.0,"Heel quantitative ultrasound index (QUI), manual entry (right)"
f.4145.0.0,"Heel bone mineral density (BMD), manual entry (right)"
f.4146.0.0,"Heel broadband ultrasound attenuation (BUA), manual entry (right)"
f.4186.0.0,Stiffness method
f.4194.0.0,Pulse rate
f.4195.0.0,Pulse wave reflection index
f.4196.0.0,Pulse wave peak to peak time
f.4205.0.0,Pulse wave pressure versus time response curve
f.4207.0.0,Pulse wave velocity (manual entry)
f.4229.0.0,Triplet played (left)
f.4230.0.0,Signal-to-noise-ratio (SNR) of triplet (left)
f.4232.0.0,Triplet correct (left)
f.4233.0.0,"Mean signal-to-noise ratio (SNR), (left)"
f.4236.0.0,Triplet entered (left)
f.4240.0.0,Triplet played (right)
f.4241.0.0,Signal-to-noise-ratio (SNR) of triplet (right)
f.4242.0.0,Triplet entered (right)
f.4243.0.0,Triplet correct (right)
f.4244.0.0,"Mean signal-to-noise ratio (SNR), (right)"
f.4258.0.0,Number entered by participant
f.4259.0.0,Digits entered correctly
f.4260.0.0,Round of numeric memory test
f.4268.0.0,Completion status (left)
f.4269.0.0,Number of triplets attempted (left)
f.4270.0.0,Volume level set by participant (left)
f.4275.0.0,Completion status (right)
f.4276.0.0,Number of triplets attempted (right)
f.4277.0.0,Volume level set by participant (right)
f.4281.0.0,Completion status of numeric memory test
f.4282.0.0,Maximum digits remembered correctly
f.4283.0.0,Number of rounds of numeric memory test performed
f.4286.0.0,Time when initial screen shown
f.4287.0.0,Test completion status
f.4288.0.0,Time to answer
f.4289.0.0,Time screen exited
f.4290.0.0,Duration screen displayed
f.4291.0.0,Number of attempts
f.4292.0.0,PM: initial answer
f.4293.0.0,PM: final answer
f.4294.0.0,Final attempt correct
f.4295.0.0,History of attempts
f.4407.0.0,Average monthly red wine intake
f.4418.0.0,Average monthly champagne plus white wine intake
f.4429.0.0,Average monthly beer plus cider intake
f.4440.0.0,Average monthly spirits intake
f.4451.0.0,Average monthly fortified wine intake
f.4462.0.0,Average monthly intake of other alcoholic drinks
f.4501.0.0,Non-accidental death in close genetic family
f.4526.0.0,Happiness
f.4537.0.0,Work/job satisfaction
f.4548.0.0,Health satisfaction
f.4559.0.0,Family relationship satisfaction
f.4570.0.0,Friendships satisfaction
f.4581.0.0,Financial situation satisfaction
f.4598.0.0,Ever depressed for a whole week
f.4609.0.0,Longest period of depression
f.4620.0.0,Number of depression episodes
f.4631.0.0,Ever unenthusiastic/disinterested for a whole week
f.4642.0.0,Ever manic/hyper for 2 days
f.4653.0.0,Ever highly irritable/argumentative for 2 days
f.4674.0.0,Private healthcare
f.4689.0.0,Age glaucoma diagnosed
f.4700.0.0,Age cataract diagnosed
f.4717.0.0,Shortness of breath walking on level ground
f.4728.0.0,Leg pain on walking
f.4792.0.0,Cochlear implant
f.4803.0.0,Tinnitus
f.4814.0.0,Tinnitus severity/nuisance
f.4825.0.0,Noisy workplace
f.4836.0.0,Loud music exposure frequency
f.4849.0.0,Hearing test done
f.4924.0.0,Attempted fluid intelligence (FI) test.
f.4935.0.0,FI1 : numeric addition test
f.4946.0.0,FI2 : identify largest number
f.4957.0.0,FI3 : word interpolation
f.4968.0.0,FI4 : positional arithmetic
f.4979.0.0,FI5 : family relationship calculation
f.4990.0.0,FI6 : conditional arithmetic
f.5001.0.0,FI7 : synonym
f.5012.0.0,FI8 : chained arithmetic
f.5057.0.0,Number of older siblings
f.5084.0.0,Spherical power (right)
f.5085.0.0,Spherical power (left)
f.5086.0.0,Cylindrical power (left)
f.5087.0.0,Cylindrical power (right)
f.5088.0.0,Astigmatism angle (right)
f.5089.0.0,Astigmatism angle (left)
f.5090.0.0,Refractometry result unreliable (left)
f.5091.0.0,Refractometry result unreliable (right)
f.5096.0.0,3mm weak meridian (left)
f.5097.0.0,6mm weak meridian (left)
f.5098.0.0,6mm weak meridian (right)
f.5099.0.0,3mm weak meridian (right)
f.5100.0.0,3mm weak meridian angle (right)
f.5101.0.0,6mm weak meridian angle (right)
f.5102.0.0,6mm weak meridian angle (left)
f.5103.0.0,3mm weak meridian angle (left)
f.5104.0.0,3mm strong meridian angle (left)
f.5105.0.0,6mm strong meridian angle (left)
f.5106.0.0,6mm strong meridian angle (right)
f.5107.0.0,3mm strong meridian angle (right)
f.5108.0.0,3mm asymmetry angle (right)
f.5109.0.0,6mm asymmetry angle (right)
f.5110.0.0,6mm asymmetry angle (left)
f.5111.0.0,3mm asymmetry angle (left)
f.5112.0.0,3mm cylindrical power angle (left)
f.5113.0.0,6mm cylindrical power angle (left)
f.5114.0.0,6mm cylindrical power angle (right)
f.5115.0.0,3mm cylindrical power angle (right)
f.5116.0.0,3mm cylindrical power (right)
f.5117.0.0,6mm cylindrical power (right)
f.5118.0.0,6mm cylindrical power (left)
f.5119.0.0,3mm cylindrical power (left)
f.5132.0.0,3mm strong meridian (right)
f.5133.0.0,6mm strong meridian (right)
f.5134.0.0,6mm strong meridian (left)
f.5135.0.0,3mm strong meridian (left)
f.5136.0.0,3mm keratometry result unreliable (left)
f.5138.0.0,6mm keratometry result unreliable (left)
f.5139.0.0,6mm keratometry result unreliable (right)
f.5140.0.0,3mm keratometry result unreliable (right)
f.5141.0.0,3mm asymmetry index unreliable (left)
f.5142.0.0,6mm asymmetry index unreliable (left)
f.5143.0.0,6mm asymmetry index unreliable (right)
f.5144.0.0,3mm asymmetry index unreliable (right)
f.5145.0.0,3mm regularity index unreliable (right)
f.5146.0.0,6mm regularity index unreliable (right)
f.5147.0.0,6mm regularity index unreliable (left)
f.5148.0.0,3mm regularity index unreliable (left)
f.5149.0.0,3mm regularity index for irregular astigmatism level (left)
f.5152.0.0,3mm asymmetry index for irregular astigmatism level (right)
f.5155.0.0,3mm asymmetry index for irregular astigmatism level (left)
f.5156.0.0,3mm asymmetry index (left)
f.5157.0.0,6mm asymmetry index (left)
f.5158.0.0,6mm asymmetry index (right)
f.5159.0.0,3mm asymmetry index (right)
f.5160.0.0,3mm regularity index (right)
f.5161.0.0,6mm regularity index (right)
f.5162.0.0,6mm regularity index (left)
f.5163.0.0,3mm regularity index (left)
f.5164.0.0,3mm regularity index for irregular astigmatism level (right)
f.5181.0.0,Ever had eye surgery
f.5182.0.0,Both eyes present
f.5183.0.0,Current eye infection
f.5185.0.0,Visual acuity measured (right)
f.5187.0.0,Visual acuity measured (left)
f.5189.0.0,Refractometry method (right)
f.5191.0.0,Refractometry method (left)
f.5194.0.0,Intra-ocular pressure (IOP) method (right)
f.5196.0.0,Intra-ocular pressure (IOP) method (left)
f.5201.0.0,"logMAR, final (right)"
f.5208.0.0,"logMAR, final (left)"
f.5215.0.0,Vertex distance (right)
f.5221.0.0,Index of best refractometry result (right)
f.5237.0.0,3mm index of best keratometry results (right)
f.5251.0.0,6mm index of best keratometry results (right)
f.5254.0.0,"Intra-ocular pressure, corneal-compensated (right)"
f.5255.0.0,"Intra-ocular pressure, Goldmann-correlated (right)"
f.5256.0.0,Corneal hysteresis (right)
f.5257.0.0,Corneal resistance factor (right)
f.5258.0.0,Applanation curve (right)
f.5259.0.0,Pressure curve (right)
f.5262.0.0,"Intra-ocular pressure, corneal-compensated (left)"
f.5263.0.0,"Intra-ocular pressure, Goldmann-correlated (left)"
f.5264.0.0,Corneal hysteresis (left)
f.5265.0.0,Corneal resistance factor (left)
f.5266.0.0,Applanation curve (left)
f.5267.0.0,Pressure curve (left)
f.5274.0.0,Vertex distance (left)
f.5276.0.0,Index of best refractometry result (left)
f.5292.0.0,3mm index of best keratometry results (left)
f.5306.0.0,6mm index of best keratometry results (left)
f.5324.0.0,Ever had cataract surgery
f.5325.0.0,Ever had refractive laser eye surgery
f.5326.0.0,Ever had surgery for glaucoma or high eye pressure
f.5327.0.0,Ever had laser treatment for glaucoma or high eye pressure
f.5328.0.0,Ever had corneal graft surgery
f.5364.0.0,Average weekly intake of other alcoholic drinks
f.5375.0.0,Longest period of unenthusiasm / disinterest
f.5386.0.0,Number of unenthusiastic/disinterested episodes
f.5408.0.0,Which eye(s) affected by amblyopia (lazy eye)
f.5419.0.0,Which eye(s) affected by injury or trauma resulting in loss of vision
f.5430.0.0,Age when loss of vision due to injury or trauma diagnosed
f.5441.0.0,Which eye(s) are affected by cataract
f.5452.0.0,Leg pain when standing still or sitting
f.5463.0.0,Leg pain in calf/calves
f.5474.0.0,Leg pain when walking uphill or hurrying
f.5485.0.0,Leg pain when walking normally
f.5496.0.0,Leg pain when walking ever disappears while walking
f.5507.0.0,Leg pain on walking : action taken
f.5518.0.0,Leg pain on walking : effect of standing still
f.5529.0.0,Surgery on leg arteries (other than for varicose veins)
f.5540.0.0,Surgery/amputation of toe or leg
f.5556.0.0,FI9 : concept interpolation
f.5610.0.0,Which eye(s) affected by presbyopia
f.5663.0.0,Length of longest manic/irritable episode
f.5674.0.0,Severity of manic/irritable episodes
f.5699.0.0,FI10 : arithmetic sequence recognition
f.5779.0.0,FI11 : antonym
f.5790.0.0,FI12 : square sequence recognition
f.5832.0.0,Which eye(s) affected by hypermetropia (long sight)
f.5843.0.0,Which eye(s) affected by myopia (short sight)
f.5855.0.0,Which eye(s) affected by astigmatism
f.5866.0.0,FI13 : subset inclusion logic
f.5877.0.0,Which eye(s) affected by other eye condition
f.5890.0.0,Which eye(s) affected by diabetes-related eye disease
f.5901.0.0,Age when diabetes-related eye disease diagnosed
f.5912.0.0,Which eye(s) affected by macular degeneration
f.5923.0.0,Age macular degeneration diagnosed
f.5934.0.0,Which eye(s) affected by other serious eye condition
f.5945.0.0,Age other serious eye condition diagnosed
f.5959.0.0,Previously smoked cigarettes on most/all days
f.5983.0.0,"ECG, heart rate"
f.5984.0.0,"ECG, load"
f.5986.0.0,"ECG, phase time"
f.5987.0.0,"ECG, trend phase name"
f.5988.0.0,"ECG, stage name"
f.5990.0.0,"ECG, stage duration"
f.5991.0.0,"ECG, phase name"
f.5992.0.0,"ECG, phase duration"
f.5993.0.0,"ECG, number of stages in a phase"
f.6014.0.0,Doctor restricts physical activity due to heart condition
f.6015.0.0,Chest pain felt during physical activity
f.6016.0.0,Chest pain felt outside physical activity
f.6017.0.0,Able to walk or cycle unaided for 10 minutes
f.6019.0.0,ECG/bike method for fitness test
f.6020.0.0,Completion status of test
f.6024.0.0,Program category
f.6025.0.0,"Fitness test results, including ECG data"
f.6032.0.0,Maximum workload during fitness test
f.6033.0.0,Maximum heart rate during fitness test
f.6034.0.0,Target heart rate achieved
f.6038.0.0,Number of trend entries
f.6039.0.0,Duration of fitness test
f.6070.0.0,OCT measured (right)
f.6072.0.0,OCT measured (left)
f.6074.0.0,Glasses worn/required (right)
f.6075.0.0,Glasses worn/required (left)
f.6119.0.0,Which eye(s) affected by glaucoma
f.6138.0.0,Qualifications
f.6139.0.0,Gas or solid-fuel cooking/heating
f.6140.0.0,Heating type(s) in home
f.6141.0.0,How are people in household related to participant
f.6142.0.0,Current employment status
f.6143.0.0,Transport type for commuting to job workplace
f.6144.0.0,"Never eat eggs, dairy, wheat, sugar"
f.6145.0.0,"Illness, injury, bereavement, stress in last 2 years"
f.6146.0.0,Attendance/disability/mobility allowance
f.6147.0.0,Reason for glasses/contact lenses
f.6148.0.0,Eye problems/disorders
f.6149.0.0,Mouth/teeth dental problems
f.6150.0.0,Vascular/heart problems diagnosed by doctor
f.6151.0.0,Fractured bone site(s)
f.6152.0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor"
f.6153.0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones"
f.6154.0.0,"Medication for pain relief, constipation, heartburn"
f.6155.0.0,Vitamin and mineral supplements
f.6156.0.0,Manic/hyper symptoms
f.6157.0.0,Why stopped smoking
f.6158.0.0,Why reduced smoking
f.6159.0.0,Pain type(s) experienced in last month
f.6160.0.0,Leisure/social activities
f.6162.0.0,Types of transport used (excluding work)
f.6164.0.0,Types of physical activity in last 4 weeks
f.6177.0.0,"Medication for cholesterol, blood pressure or diabetes"
f.6179.0.0,Mineral and other dietary supplements
f.6183.0.0,Number of cigarettes previously smoked daily (current cigar/pipe smokers)
f.6194.0.0,Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)
f.6205.0.0,Which eye(s) affected by strabismus (squint)
f.6312.0.0,Value entered
f.6313.0.0,Duration to entering selection
f.6315.0.0,Picture selected for each round
f.6317.0.0,Duration of selection in each round
f.6325.0.0,Duration to entering symbol choice
f.6332.0.0,Item selected for each puzzle
f.6333.0.0,Duration spent answering each puzzle
f.6334.0.0,Screen layout
f.6348.0.0,Duration to complete numeric path (trail #1)
f.6349.0.0,Total errors traversing numeric path (trail #1)
f.6350.0.0,Duration to complete alphanumeric path (trail #2)
f.6351.0.0,Total errors traversing alphanumeric path (trail #2)
f.6364.0.0,Vocabulary level
f.6365.0.0,Uncertainty in vocabulary level
f.6373.0.0,Number of puzzles correctly solved
f.6374.0.0,Number of puzzles viewed
f.6383.0.0,Number of puzzles attempted
f.6448.0.0,"Word associated with ""huge"""
